step,duration_sec
1,13.5332
2,5.4821
3,11.3127
4,6.1288
5,11.0641
6,6.0380
7,5.0216
8,6.0349
9,11.1359
10,5.7358
11,5.2558
12,5.5622
13,10.7299
14,5.0010
15,4.9841
16,5.0726
17,5.9890
18,5.0731
19,11.1000
20,5.7014
21,4.9608
22,5.7347
23,5.0084
24,4.9674
25,5.1685
26,10.9957
27,5.0157
28,5.0115
29,10.8198
30,10.7986
31,5.0626
32,5.7227
33,10.8227
34,10.8173
35,6.0067
36,5.0075
37,5.8283
38,10.8031
39,5.7865
40,10.8543
41,5.0442
42,10.9561
43,10.7789
44,12.4863
45,10.8563
