step,client_id,epoch,train_loss,train_dice,val_loss,val_dice,is_best
1,0,1,0.8815361261367798,0.11296016373548794,2.0854207277297974,0.07482551431543412,no
1,0,2,0.7297542095184326,0.233873981737229,2.061720132827759,0.06978185301555473,no
1,0,3,0.6679766416549683,0.2955510265526142,1.1988326907157898,0.009666586711439275,no
1,0,4,0.620237672328949,0.31342600066828774,0.7637268900871277,0.10755678655041269,no
1,0,5,0.5779587507247925,0.3855264377717732,0.6240201592445374,0.13768858309814516,no
1,0,6,0.5500191450119019,0.41670618750804567,0.5764077603816986,0.2148438257666751,no
1,0,7,0.5223435640335083,0.44215024496530264,0.567081093788147,0.3203773131237651,no
1,0,8,0.5096554338932038,0.4408036806940851,0.6099675595760345,0.0728704311242916,no
1,0,9,0.47800113558769225,0.4887218167749724,0.7277900576591492,0.22471317009868835,no
1,0,10,0.4565126597881317,0.5046388535036029,0.4695025235414505,0.47269708536670707,yes
2,1,1,0.631525715192159,0.3770805104919566,1.9145020842552185,0.0,no
2,1,2,0.5114888201157252,0.5006916221040242,9.364693284034729,0.15746492218105307,no
2,1,3,0.4468710074822108,0.5535610305830643,0.6624628826975822,0.31152868404918477,no
2,1,4,0.379177821179231,0.6274795656498882,0.3956342563033104,0.5655852571683861,no
2,1,5,0.3101229667663574,0.7062295115475922,0.31853148341178894,0.6431130946542615,no
2,1,6,0.2846768796443939,0.6796909859517909,0.32834119349718094,0.5785678649759407,no
2,1,7,0.243168314297994,0.7242039199265794,0.35983774811029434,0.4945065601781306,no
2,1,8,0.2242485967775186,0.725035476618031,0.25362154468894005,0.6668728812978696,no
2,1,9,0.17194430033365884,0.7956599825464054,0.25067227706313133,0.6691185453700473,yes
2,1,10,0.16789742559194565,0.7869771080314437,0.2738864943385124,0.6118424287404,no
3,0,1,0.5867424964904785,0.5056057269509249,0.636774480342865,0.0,no
3,0,2,0.4767412066459656,0.6707394092867461,0.5421232879161835,0.3962791760681009,no
3,0,3,0.4168855309486389,0.7049407074629597,1.3098804950714111,0.33527255134384015,no
3,0,4,0.3778072714805603,0.7502976067496685,0.6764495074748993,0.3252324873073301,no
3,0,5,0.34193685054779055,0.7463841908188983,0.5381873250007629,0.1002229855962754,no
3,0,6,0.31050829887390136,0.7886570954608194,0.4585868567228317,0.41881426731558474,no
3,0,7,0.2736217319965363,0.8193114459361123,0.42841675877571106,0.4572927445990893,no
3,0,8,0.24376190304756165,0.8331396041367711,0.351045697927475,0.5569105219787265,yes
3,0,9,0.21773621141910554,0.8498606738233294,0.3529904782772064,0.5230411032203788,no
3,0,10,0.19926153719425202,0.8516861264158921,0.3544793874025345,0.49223133458638585,no
4,0,1,0.47406297326087954,0.7007022720041204,1.0228520631790161,0.015293521682924353,no
4,0,2,0.41597707867622374,0.6915608806119871,0.5457291305065155,0.49260037027542297,no
4,0,3,0.36573675870895384,0.7647276209653342,0.49066947400569916,0.4176697536266281,no
4,0,4,0.32958813309669494,0.7646905277981946,0.4489026963710785,0.4811767520314556,no
4,0,5,0.2864899396896362,0.8271612212870842,0.3933035880327225,0.5342810728046636,yes
4,0,6,0.26153775453567507,0.8268831424614964,0.3930063545703888,0.4912350836426832,no
4,0,7,0.2303306430578232,0.8428849440635953,0.3695860803127289,0.5275235897966004,no
4,0,8,0.20326946377754213,0.8643969521698909,0.38771407306194305,0.5086462978014945,no
4,0,9,0.18213073015213013,0.8693270011029046,0.3570239096879959,0.5031551056978164,no
4,0,10,0.16282857358455657,0.8799206992334335,0.3375958949327469,0.5310898876799718,no
5,0,1,0.4267106890678406,0.7583820265502277,1.0311869978904724,0.24416220933893654,no
5,0,2,0.37414830327034,0.7488937893757917,0.4755503386259079,0.5146594982398893,yes
5,0,3,0.3293362259864807,0.7952151638181237,0.48874038457870483,0.4542902812205777,no
5,0,4,0.2986380815505981,0.8093301978344304,0.4979293644428253,0.4466776974971455,no
5,0,5,0.268561527132988,0.8307599454829402,0.5226218700408936,0.39599147414034475,no
5,0,6,0.24558282494544983,0.8220382634696393,0.38020971417427063,0.5000772643778658,no
5,0,7,0.21562159359455108,0.8510866239334316,0.3798079937696457,0.4768645586746165,no
5,0,8,0.1964837372303009,0.8493390748222241,0.387591153383255,0.4474841374378134,no
5,0,9,0.17422453463077545,0.8690955123464684,0.38065314292907715,0.4293536826751869,no
5,0,10,0.15460051894187926,0.8753163447321436,0.35625937581062317,0.47801940086907657,no
6,2,1,0.5412682890892029,0.4571453302629923,1.6720900535583496,0.03331771817151392,no
6,2,2,0.4747468829154968,0.5459925115776599,0.7363333702087402,0.1595852110871389,no
6,2,3,0.42969584465026855,0.6665580057066175,0.5090287327766418,0.44360784313690693,yes
6,2,4,0.4064217060804367,0.6599336473964141,0.5162713527679443,0.25985346134394904,no
6,2,5,0.3751900643110275,0.6867656602986174,0.5002583265304565,0.2742197899716948,no
6,2,6,0.3544531762599945,0.7055705653049201,0.4996044933795929,0.24568625733544464,no
6,2,7,0.3315807580947876,0.7184352543162229,0.4954465627670288,0.20846797580561066,no
6,2,8,0.31108715385198593,0.7432370222876127,0.46840015053749084,0.33186986378438377,no
6,2,9,0.2953135147690773,0.7318368660340947,0.4349392056465149,0.42014870667041554,no
6,2,10,0.26000820472836494,0.7817840246177624,0.43571987748146057,0.3924767731697343,no
7,2,1,0.48140832781791687,0.6105541308201365,41.831974029541016,0.0,no
7,2,2,0.45482228696346283,0.5901214424343528,0.5904197692871094,0.10566483929912242,no
7,2,3,0.40644868463277817,0.7066963197484708,0.5276299715042114,0.1693261991570769,no
7,2,4,0.3810751438140869,0.705842737597902,0.4900498688220978,0.33256033668269985,no
7,2,5,0.35121268779039383,0.7592692072756426,0.4737885892391205,0.3419442238518513,no
7,2,6,0.33295711874961853,0.7245841701565575,0.4680331349372864,0.4152097066968422,no
7,2,7,0.309362955391407,0.785989940748594,0.4503624439239502,0.3742659304056559,no
