round,duration_sec
1,59.4601
2,17.9396
3,17.4385
4,17.3038
5,17.3115
6,18.0843
7,17.3025
8,17.6336
9,17.2688
10,17.4349
11,17.3557
12,17.3444
13,17.3431
14,17.3407
15,17.7789
