round,duration_sec
1,83.7275
2,65.3075
3,65.8273
4,65.0744
5,64.8515
6,64.6051
7,65.2792
8,64.5371
9,64.3771
10,63.6905
11,64.5899
12,63.9254
13,65.0340
14,64.1075
15,64.1780
