round,duration_sec
1,26.2305
2,22.4734
3,23.2738
4,22.5223
5,15.0136
6,14.8574
7,14.6258
8,23.0097
9,14.9610
10,14.5603
11,21.9104
12,21.6978
13,15.1731
14,23.1437
15,14.6227
