round,duration_sec
1,55.2034
2,11.8318
3,18.5867
4,11.8403
5,19.6564
6,19.8733
7,19.5942
8,12.1761
9,19.5865
10,11.8101
11,19.6026
12,11.7852
13,19.1400
14,11.7165
15,18.4598
