round,duration_sec
1,25.6067
2,22.3800
3,22.9353
4,22.2024
5,21.9509
6,21.6825
7,21.7245
8,22.2364
9,21.6777
10,22.3092
11,21.6513
12,21.8212
13,21.7559
14,21.7880
15,21.5868
