round,epoch,train_loss,train_dice,train_iou,train_acc,val_loss,val_dice,val_iou,val_acc,best_epoch
1,1,0.62834004064401,0.3581368053583642,0.22195277203234898,0.8734988064236112,0.7010112404823303,0.49395996187514024,0.33250755697314993,0.9345171440972222,
1,2,0.3934219504396121,0.6335474922920071,0.4667730450517272,0.9621569372106481,0.48012614250183105,0.5289067701941998,0.3639225139386578,0.9317502170138888,
1,3,0.2567676417529583,0.7314268895747209,0.5837740678506737,0.9757320601851854,0.32202839106321335,0.6098467637946431,0.4433530237065367,0.9563167317708333,
1,4,0.18860104804237685,0.776890513772443,0.6360035370305904,0.9796815321180555,0.26960229128599167,0.635446447347394,0.4723455226936635,0.9624115668402777,x
1,5,0.16291141137480736,0.7901131723683954,0.6549345656308506,0.981339699074074,0.26404906809329987,0.6230104906079346,0.45666870242033736,0.9659516059027777,
1,6,0.1557000329097112,0.788387432393995,0.6518733576790409,0.9808369502314814,0.28033677488565445,0.5911981580749559,0.427596109760103,0.9666292317708334,
2,1,0.2112931323548158,0.7392510604213788,0.5892512028139553,0.9768366608796297,0.37127162516117096,0.5564833217515882,0.3904624359894836,0.9368646918402779,
2,2,0.18128749231497446,0.7497319418683533,0.6020757692362618,0.9774784794560184,0.2558976300060749,0.6347608095958969,0.4713762574623634,0.9655843098958333,
2,3,0.15971426789959273,0.7760444466029998,0.6378365104264523,0.9798674406828702,0.27025238424539566,0.6141400760686874,0.45118499478721347,0.9671283637152778,
2,4,0.1350505476196607,0.8090501876486013,0.6801475322979967,0.982897677951389,0.25495243072509766,0.6353426266901121,0.47225569784798005,0.9653011067708334,
2,5,0.12935954704880714,0.8168057674579922,0.6911598764316237,0.9837324580439816,0.25626005977392197,0.6375954184703576,0.4762145476865133,0.9647287326388889,
2,6,0.12093070025245349,0.8268542036270934,0.7054406042571576,0.984665617766204,0.24959959834814072,0.6384082273598735,0.47513306418119533,0.968449435763889,x
3,1,0.12019563217957814,0.8292455964810963,0.7086435389920595,0.9847292751736112,0.2855655960738659,0.593196074251208,0.4300059586237918,0.9644867621527777,
3,2,0.1366642409314712,0.8021294451271949,0.6702103322694511,0.9823083043981482,0.28479038178920746,0.5943930986100199,0.43205716306893294,0.9657096354166667,
3,3,0.1291916947811842,0.8142319262678361,0.6891417123260766,0.9836375144675925,0.27260786294937134,0.6163611298900468,0.45117242833707005,0.9658729383680555,
3,4,0.12069360166788101,0.8250055053987624,0.7027913384846559,0.9838783998842592,0.28296952322125435,0.6060071346252635,0.4393971192545656,0.9655523003472222,
3,5,0.11020529766877492,0.841841635340239,0.7273630432542157,0.9859044053819446,0.25950346514582634,0.6430118304624426,0.4792475137113852,0.9681483289930556,x
3,6,0.10172090431054433,0.85336779244767,0.7447262360178418,0.9869894748263888,0.25659628957509995,0.6401878841686364,0.4753611419585725,0.9689925130208334,
4,1,0.10390677613516648,0.8505918288140041,0.740425311401638,0.9865809461805556,0.2649158835411072,0.6374353679286769,0.47455444151378046,0.9660378689236111,
4,2,0.12517840911944708,0.8195233686310176,0.6952340354100145,0.9838930483217593,0.26160698756575584,0.6406707266475419,0.4750514924717922,0.9625200737847223,
4,3,0.11104611990352471,0.8381902202475305,0.722412025121177,0.985738208912037,0.2601506784558296,0.6415386176389897,0.47513766558259596,0.963857421875,x
4,4,0.10191629951198895,0.8532431213281253,0.7444828429544939,0.9869276258680557,0.25795625522732735,0.6392896023501553,0.47588151567438974,0.9624365234375,
4,5,0.09523671058317025,0.8639208249123717,0.7607644425394979,0.9878226273148148,0.2652288191020489,0.6455802178860459,0.4807733615938904,0.9640234375,
4,6,0.09402937193711598,0.8642431014192603,0.7614317126710674,0.9880116102430555,0.2877415902912617,0.6125552195688246,0.4488597123138463,0.963717990451389,
