step,duration_sec
1,30.1441
2,17.2971
3,19.6111
4,35.1200
5,34.9678
6,17.3030
7,17.0794
8,14.3830
9,14.3895
10,13.9625
11,35.5514
12,16.8678
13,14.0328
14,13.9315
15,16.9403
16,14.2628
17,17.0908
18,34.8901
19,17.0004
20,35.4403
21,17.0540
22,14.0420
23,34.7621
24,34.6494
25,16.7522
26,34.5530
27,34.5879
28,14.5505
29,16.9869
30,34.5043
31,14.0878
32,14.0480
33,34.7928
34,17.2176
35,16.7891
36,35.2448
37,14.0073
38,34.6368
39,14.0147
40,16.8671
41,14.0334
42,34.5827
43,16.8201
44,14.6133
45,16.9873
