step,client_id,epoch,train_loss,train_dice,val_loss,val_dice,is_best
1,1,1,0.7554284632205963,0.2319888952508494,0.7821025997400284,0.2678188508456724,no
1,1,2,0.5921424279610316,0.31525999773517954,0.932693287730217,0.26380759917322527,no
1,1,3,0.5431948304176331,0.32062217386092423,0.5544089674949646,0.23179595695641017,no
1,1,4,0.4957278122504552,0.40864793295840124,0.5192432478070259,0.34454383572467934,no
1,1,5,0.4526275297005971,0.46137545722293094,0.4512505605816841,0.4624941243125976,no
1,1,6,0.40339252601067227,0.5447582555206977,0.45327455550432205,0.17717458877493966,no
1,1,7,0.3483135948578517,0.6066803987138197,0.37676893919706345,0.544870885249593,no
1,1,8,0.29073230052987736,0.653363842393521,0.327320359647274,0.5532817388645555,no
1,1,9,0.24187948927283287,0.7049052749739372,0.2838709354400635,0.6202164878983883,no
1,1,10,0.21494574720660845,0.7201012643816167,0.2538532502949238,0.6464239513881924,yes
2,1,1,0.5106419573227564,0.6619662310807498,0.5298725515604019,0.6032432276343518,no
2,1,2,0.3855475460489591,0.7654610900503541,0.42750873416662216,0.6450000409986465,no
2,1,3,0.32185717423756915,0.7706651421378407,0.4132079556584358,0.5712404905279544,no
2,1,4,0.25348542506496113,0.80830452638395,0.2837423160672188,0.7211108270757309,no
2,1,5,0.20510712390144667,0.8144843841984913,0.27598852664232254,0.6577472280824638,no
2,1,6,0.1658204880853494,0.8350207742553266,0.2534976676106453,0.6705461293244964,no
2,1,7,0.1417949932316939,0.8421610504717165,0.20239771530032158,0.7486157698237079,yes
2,1,8,0.13513771630823612,0.8368701679571403,0.261401891708374,0.6359701171583249,no
2,1,9,0.11484215036034584,0.8582343797115689,0.1938001960515976,0.7405322115391229,no
2,1,10,0.11258908671637376,0.8551762174787928,0.1911890245974064,0.7406752110635475,no
3,1,1,0.3966288243730863,0.788162634473926,0.6470846235752106,0.41930684260883333,no
3,1,2,0.28157181292772293,0.8193320355518332,0.3066278249025345,0.726810422068614,no
3,1,3,0.221491655955712,0.8291858167781506,0.25266750156879425,0.7131471935057028,no
3,1,4,0.17724966754515967,0.8411632132060188,0.27457665279507637,0.6519066384266483,no
3,1,5,0.14572675277789435,0.8588011891159532,0.25258300453424454,0.6666547331057293,no
3,1,6,0.12565650915106139,0.866311850620111,0.2477053552865982,0.661983912052206,no
3,1,7,0.11421673869093259,0.869278825233332,0.2085055448114872,0.7208853507563614,no
3,1,8,0.10901271117230256,0.8680766045343864,0.19869282469153404,0.7313724227592471,no
3,1,9,0.09500744938850403,0.8832452156933298,0.1915985606610775,0.7412756223393779,yes
3,1,10,0.09186506395538648,0.8843533856090483,0.2523344196379185,0.6469794161068809,no
4,1,1,0.30474111810326576,0.8429833446338059,0.29606515169143677,0.732431275372906,no
4,1,2,0.20207984621326128,0.8651148031851686,0.25305720046162605,0.7341235342350113,yes
4,1,3,0.15907716130216917,0.8654538658652209,0.2256673313677311,0.7337826840213932,no
4,1,4,0.12774142747124037,0.8763483287469435,0.23070456460118294,0.7025014107223151,no
4,1,5,0.10951259670158227,0.8845056339924731,0.29145297408103943,0.5902968845583467,no
4,1,6,0.09981210653980573,0.8849683308452508,0.23478193953633308,0.6755920714456869,no
4,1,7,0.08801513475676377,0.8960496072426758,0.2386554628610611,0.6687830225064298,no
4,1,8,0.0857963499923547,0.8942767111052988,0.19785070046782494,0.732579702908636,no
4,1,9,0.07480385713279247,0.906541304132214,0.20917674526572227,0.712357147032794,no
4,1,10,0.07294417358934879,0.9065881277349067,0.26059937477111816,0.634641932410033,no
5,0,1,0.4224796652793884,0.6380305299635811,0.965865969657898,0.4351584731900332,no
5,0,2,0.32972641587257384,0.7176191847616734,0.32308848947286606,0.6744033543087116,no
5,0,3,0.2757867157459259,0.7763196650200921,0.36002929508686066,0.6018616211480619,no
5,0,4,0.2270349979400635,0.8204099422146331,0.33296091854572296,0.6165100768923449,no
5,0,5,0.19988479614257812,0.8290168522072504,0.2540610656142235,0.7016952330593993,yes
5,0,6,0.17792536616325377,0.8382260684933718,0.24897993355989456,0.6963643629565404,no
5,0,7,0.15243970453739167,0.8612991703940681,0.24688611179590225,0.6815060941431803,no
5,0,8,0.1349223554134369,0.8696869168151456,0.22755256295204163,0.6983666598507567,no
5,0,9,0.12083012014627456,0.8815833552102592,0.23007279634475708,0.6812378787260823,no
5,0,10,0.11104740798473359,0.8846589478213979,0.23518456518650055,0.667376875692589,no
6,2,1,0.4431629255414009,0.5908235679462421,0.6409897804260254,0.1590244293365533,no
6,2,2,0.39821796864271164,0.6154736187278959,0.4352508783340454,0.5295243930454702,yes
6,2,3,0.348584808409214,0.6756516931229197,0.6412453055381775,0.22879100120208037,no
6,2,4,0.31330517679452896,0.7074585172008088,0.42846328020095825,0.46917409848748276,no
6,2,5,0.2831210792064667,0.74333058062239,0.44615089893341064,0.39989805021010155,no
6,2,6,0.2549317330121994,0.7451490307235745,0.4202079772949219,0.40613296911468205,no
6,2,7,0.23841353505849838,0.7499774828779225,0.39554598927497864,0.44165595268683894,no
6,2,8,0.22144534438848495,0.7633423655599249,0.37677592039108276,0.4534580447877925,no
