round,epoch,train_loss,train_dice,train_iou,train_acc,val_loss,val_dice,val_iou,val_acc,best_epoch
1,1,0.7749518156051636,0.11533696269687725,0.061567720230623346,0.7723910590277778,0.8208767771720886,0.0912616056799314,0.047812526824788176,0.9277821180555555,
1,2,0.6727593392133713,0.24776459230107178,0.14173934540483854,0.9244729817708333,0.7937818765640259,0.014098948987421048,0.007099522395756939,0.9833072916666666,
1,3,0.5878482013940811,0.4246909713857204,0.2707753243761831,0.9667494574652779,0.744019091129303,0.0,0.0,0.9852756076388889,
1,4,0.5288196355104446,0.4585895585287115,0.29755118230605027,0.9689235026041667,0.6913476586341858,0.12934010152271133,0.06914143058713866,0.9813888888888889,
1,5,0.4840109795331955,0.4689090610682177,0.3107590986923411,0.9684901258680555,0.6307572722434998,0.20921155347375248,0.1168265039232182,0.9626280381944444,x
2,1,0.42213935405015945,0.3509748849409725,0.2237155156780507,0.9725136718749999,0.4567324221134186,0.3471035137699744,0.20999712726213013,0.9761284722222222,x
2,2,0.3520139679312706,0.49920626905540205,0.3346256968617628,0.9773197699652778,0.46743208169937134,0.2406426061247054,0.13677869372217072,0.9704578993055556,
2,3,0.3189302012324333,0.5458204627535403,0.3778911688702024,0.9815584852430557,0.4356153607368469,0.2788947030200322,0.1620439513546383,0.9829535590277778,
2,4,0.26804354414343834,0.6032822797666904,0.4341592361266657,0.9817004123263889,0.4559844732284546,0.2329343680124734,0.13181987346473253,0.9746875,
2,5,0.3061364218592644,0.5116836943418464,0.34719781176168374,0.9784810112847222,0.4080314338207245,0.2988560157788569,0.17567943604473082,0.9807139756944444,
3,1,0.33220580220222473,0.45824629280403845,0.30872677432343004,0.9789307725694445,0.4443417489528656,0.16756971058521533,0.09144670416833774,0.9863302951388889,
3,2,0.27908457815647125,0.5495506738310152,0.3794961294969225,0.9831838107638888,0.4727821946144104,0.17063730971001062,0.0932769158438239,0.9790733506944445,
3,3,0.2983884662389755,0.5216764791030792,0.35641074177539983,0.9815515407986111,0.48478513956069946,0.08669511249021848,0.04531170805874778,0.9795616319444445,
3,4,0.2716941274702549,0.5556839780258093,0.387637837686803,0.9826335720486111,0.45604392886161804,0.16336736820153847,0.08894939868381103,0.9825737847222222,
3,5,0.29556289315223694,0.49981658896073883,0.335385141050877,0.9818349609375001,0.3884483575820923,0.30222135619612017,0.17800987030852974,0.9844574652777778,x
4,1,0.2768891453742981,0.5428812201781938,0.3870198939857898,0.9828687065972223,0.4547201097011566,0.17074945428065635,0.09334394059918677,0.9851605902777778,
4,2,0.26443110778927803,0.5683904094109353,0.3979709918303772,0.9833854166666667,0.43929973244667053,0.21194350375798138,0.11853288987424378,0.9792947048611111,
4,3,0.2869842201471329,0.5204743790081241,0.35672198483693507,0.9802840711805555,0.48550915718078613,0.08295218295209672,0.043270794924581635,0.9808550347222222,
4,4,0.23893777281045914,0.6125741024062462,0.44982383206620097,0.9838493923611111,0.4521406292915344,0.16290613718393174,0.08867600098245065,0.9838975694444444,
4,5,0.2735683247447014,0.5489284270890652,0.38152114817096605,0.9832323133680556,0.40890783071517944,0.253915910964289,0.14542020774298225,0.9842881944444445,x
5,1,0.24942714720964432,0.5885392153253219,0.42914186842194146,0.9846928168402778,0.5040990114212036,0.031399912777974416,0.015950376606090753,0.9855403645833334,
5,2,0.2646114081144333,0.5567075442002888,0.3860150725887536,0.9838636067708334,0.42283937335014343,0.2580119057324814,0.14811347252116083,0.98025390625,
5,3,0.2165837548673153,0.6491333433742665,0.4809990398070336,0.9842240668402777,0.4212743043899536,0.2535941156801625,0.14520915095228754,0.9806206597222222,
5,4,0.21862901374697685,0.6429369861636689,0.47616537765603406,0.9849682074652778,0.4616674482822418,0.16273908908362808,0.08857701598977501,0.9828059895833333,
5,5,0.24465050548315048,0.6029090606715202,0.43348132455937727,0.9846305338541667,0.3647887110710144,0.3665142455149784,0.2243755383287851,0.9843663194444444,x
