step,duration_sec
1,29.6727
2,19.5285
3,35.4990
4,34.7918
5,34.9703
6,17.2202
7,35.2360
8,17.2743
9,16.9613
10,16.8788
11,17.3194
12,16.8475
13,34.7097
14,34.3258
15,34.4408
16,14.3386
17,13.9086
18,34.5257
19,17.1997
20,16.7369
21,16.8029
22,16.6845
23,16.7820
24,16.7391
25,16.7063
26,16.5968
27,13.8378
28,34.9951
29,16.6397
30,13.8004
31,13.8514
32,13.8851
33,16.6890
34,16.6953
35,34.2049
36,16.7793
37,17.1926
38,34.4429
39,16.7254
40,34.1809
41,13.9739
42,34.4008
43,34.3814
44,14.0327
45,17.2276
