round,epoch,train_loss,train_dice,train_iou,train_acc,val_loss,val_dice,val_iou,val_acc,best_epoch
1,1,0.6506772190332413,0.33808177675745466,0.20931033078860928,0.8472755714699076,0.7174656540155411,0.44657462004551896,0.2894581831889961,0.9192719184027778,
1,2,0.42795079698165256,0.5853052736135621,0.4190617399241865,0.958536060474537,0.5155752599239349,0.5693473891430874,0.40782691184246245,0.9486002604166667,
1,3,0.296343345195055,0.6919263128704053,0.5357823490286777,0.9711579499421297,0.34488821029663086,0.6081867561391671,0.439939909061905,0.9537076822916667,
1,4,0.21610062941908836,0.7527815439341906,0.6046747009065078,0.9776484736689817,0.279582679271698,0.6337695161333021,0.46999128455198147,0.9628933376736112,x
1,5,0.17709052190184593,0.7803952142573629,0.6410109091147745,0.980046115451389,0.2755809873342514,0.6246271431324971,0.458012055132603,0.9604671223958333,
2,1,0.24778412530819574,0.7023548234705723,0.5433694592128135,0.9728987630208336,0.2863880917429924,0.6415483033974638,0.4747239162886457,0.9616248914930555,
2,2,0.2003536137441794,0.7311024661777923,0.5782141384865068,0.975915256076389,0.35618482530117035,0.437142693477116,0.31512038331195547,0.9612673611111111,
2,3,0.17405960957209268,0.7585100747044701,0.6127110949408913,0.9782798032407408,0.2646542936563492,0.6210226368852085,0.452957132816696,0.9649251302083333,
2,4,0.15894018361965814,0.7752062154372653,0.6338928163518867,0.9799524377893518,0.2733094021677971,0.6293582269597102,0.4699412431187682,0.9606363932291667,
2,5,0.14834910507003465,0.7891248907225424,0.6536471980842341,0.9814046223958335,0.2453804798424244,0.662110545164835,0.49824318115143795,0.9649994574652778,x
3,1,0.14978657911221185,0.788175098089607,0.6510866233265928,0.9812252242476852,0.29484373331069946,0.5926500986399109,0.42445323024049325,0.9582763671875,
3,2,0.15269927370051542,0.7790729388798633,0.6394206483326612,0.9801804832175928,0.24739211425185204,0.6567770418746905,0.49918135935622393,0.9677723524305556,x
3,3,0.13265794577697912,0.8086006677815131,0.6800759960820549,0.9829434317129632,0.2718338593840599,0.6111666497393975,0.44618966867239435,0.9686149088541666,
3,4,0.12689032902320227,0.8169038650274286,0.6912310104983398,0.983595558449074,0.26579348742961884,0.6160281331823999,0.4501153459750976,0.9678336588541667,
3,5,0.12016189905504386,0.8264607475832543,0.7047854207515153,0.9846435546875,0.28368059173226357,0.6066547790812491,0.4406011129305128,0.9575200737847223,
4,1,0.13536451881130537,0.8052133276240515,0.6745437495499335,0.982520435474537,0.2994386553764343,0.5854656506604692,0.4165183304184273,0.953984375,
4,2,0.1343122130880753,0.8064712131732118,0.6764927325233171,0.9828343822337963,0.2624974362552166,0.6295589745763954,0.46688869769373614,0.9695719401041667,
4,3,0.12535218273599943,0.8202385769963092,0.6967249653362231,0.9838863570601851,0.2898251637816429,0.5882703065756102,0.42332947795887677,0.9688883463541667,
4,4,0.12132294351855914,0.8259103131112688,0.7044825123226065,0.9843165870949072,0.3005073592066765,0.57960253180267,0.41239245202503816,0.9675808376736111,
4,5,0.11872218859692414,0.8290011346771265,0.7087895334440146,0.9846399377893519,0.2581561952829361,0.6425728452046049,0.4808595297647161,0.967018771701389,x
5,1,0.10307741723954678,0.8524028258837548,0.743094043361363,0.9868241825810186,0.26929475367069244,0.625078870698802,0.45626619889345627,0.9683197699652777,
5,2,0.11277423488597076,0.8376461387378039,0.7216333819481987,0.9854622395833333,0.27147725969552994,0.6139651867101223,0.44606151407994954,0.9667561848958334,
5,3,0.1104269412656625,0.8402077882473851,0.7260217247069417,0.9860756655092593,0.25442543253302574,0.6405996586470742,0.4750264118194142,0.9692057291666667,x
5,4,0.1043180034806331,0.8486862290150189,0.7376689187780417,0.9863832826967593,0.27666017413139343,0.6196346808592315,0.4531411306961406,0.9691569010416666,
5,5,0.10402049124240875,0.84968807192307,0.739505117349518,0.9866878255208333,0.25812265276908875,0.6495834334719404,0.4837240968477302,0.96779296875,
