step,duration_sec
1,32.8518
2,9.5006
3,4.0279
4,18.3118
5,9.4347
6,4.6196
7,4.7559
8,9.7169
9,4.7824
10,3.9501
11,9.3316
12,9.4240
13,3.9607
14,9.4947
15,9.2245
16,4.0194
17,9.4570
18,3.9897
19,9.3651
20,4.6506
21,4.0245
22,9.5401
23,4.6452
24,4.0203
25,3.9943
26,4.6028
27,4.7682
28,9.2560
29,5.5079
30,4.6701
31,4.6896
32,4.6966
33,3.9558
34,4.6150
35,3.9756
36,4.6284
37,3.9523
38,4.7152
39,4.6535
40,9.5061
41,4.6722
42,3.9916
43,4.6042
44,3.9251
45,3.9779
