round,duration_sec
1,25.2352
2,22.2690
3,22.4367
4,21.7279
5,21.9281
6,21.9759
7,21.8635
8,21.8816
9,21.6790
10,22.8965
11,21.5484
12,21.7490
13,21.7344
14,22.2095
15,21.6120
