round,epoch,train_loss,train_dice,train_iou,train_acc,val_loss,val_dice,val_iou,val_acc,best_epoch
1,1,0.7706868598858515,0.237616637063881,0.1384369351870565,0.7138308376736111,3.6675219535827637,0.10643447880104016,0.0562184152359014,0.1756906467013889,
1,2,0.5968591819206873,0.3862906345454145,0.24171899392615526,0.9085980902777778,5.117960810661316,0.1413620383311121,0.07608887533261181,0.41330946180555556,
1,3,0.5242862602074941,0.43336061155756095,0.28046800529688415,0.9313458478009261,0.5671369135379791,0.38503857728003277,0.23850059460953973,0.9254009331597223,
1,4,0.4680601904789607,0.49753634413434494,0.3322261151308937,0.9464907045717594,0.46395818144083023,0.5194215736205126,0.36124047225944655,0.9607980685763888,
1,5,0.4326806490619977,0.5100066209075781,0.3473376423638514,0.9416816767939816,0.45321224629879,0.46476429991136836,0.30457596740472165,0.9182101779513889,
1,6,0.3761492073535919,0.569823476694843,0.40308623494931073,0.9545301649305556,0.3641594797372818,0.5870160494823485,0.4219372463208024,0.9552967664930555,x
1,7,0.33321773260831833,0.6131082763024587,0.4453276240897129,0.9599576822916668,0.3441697731614113,0.5670180734194346,0.39708538794219883,0.9624495442708334,
1,8,0.33941110223531723,0.5708710863129632,0.40656914633253494,0.9531712962962963,0.3603382930159569,0.5209379958281718,0.3584604842546384,0.946969943576389,
1,9,0.31315140674511593,0.5885292185147178,0.4212798487430048,0.9563689959490741,0.4348352625966072,0.47014995833780066,0.30996326773959226,0.9110177951388888,
1,10,0.2586797537902991,0.6673001842210775,0.5050230691527061,0.9685282841435184,0.371779665350914,0.49782806959200143,0.33931706734923345,0.954296875,
2,1,0.4081236372391383,0.4861773620180667,0.32628395839339724,0.9470618127893519,0.5038018524646759,0.043909886567082126,0.02263378312702438,0.9479839409722222,
2,2,0.3468896970152855,0.5707224967837875,0.40551216167043463,0.9576423249421296,0.4528036564588547,0.33824596423266184,0.21838864952121356,0.9540066189236112,
2,3,0.3062377820412318,0.5971057767130378,0.43610409252746823,0.962604709201389,0.31066128239035606,0.6359213458800235,0.4782504510599587,0.9594281684027777,
2,4,0.2609637913604577,0.6523771625237543,0.4866178228661244,0.9692384620949074,0.31272950768470764,0.5646717885227291,0.3968530907411213,0.9554296874999999,
2,5,0.23717986419796944,0.6783650479686668,0.5156741042351084,0.9713413266782407,0.41816602647304535,0.3523450655569873,0.22478641578757652,0.952880859375,
2,6,0.2406591276327769,0.6599323582585223,0.49502931160821456,0.9694639756944442,0.2997860126197338,0.5901662214706793,0.42091094924661693,0.9451361762152777,
2,7,0.20839093377192816,0.7110110979364453,0.5570287156687178,0.9733499710648147,0.4204163998365402,0.3260024884938907,0.20802802748137397,0.9591021050347222,
2,8,0.18495228265722594,0.7406850976141724,0.5909490763443115,0.9775896990740742,0.28322187066078186,0.604340147899855,0.4371830354571751,0.9542860243055555,
2,9,0.160276776800553,0.7770285189465879,0.637582142192033,0.979733253761574,0.22934866696596146,0.6803074534074041,0.523992266988402,0.9696137152777777,
2,10,0.1478734432409207,0.7924430485477486,0.6581397831492243,0.9815796802662037,0.22139634937047958,0.6970578059542658,0.5399694832320057,0.9664903428819444,x
3,1,0.19954243550697962,0.7219329983778864,0.5692874720163831,0.9747272858796298,0.31840648502111435,0.5567413323517845,0.3885079943572901,0.9371799045138889,
3,2,0.15199440903961658,0.788303409980275,0.6533550364715989,0.9810109230324074,0.31416965276002884,0.5351638724689665,0.3681692275554903,0.9633653428819444,
3,3,0.14097378961741924,0.7982857978482886,0.6693453788417741,0.9820643446180556,0.37465134635567665,0.4428748579416274,0.2944000158791862,0.9633653428819444,
3,4,0.1290006979058186,0.8151897782671101,0.6897261162610674,0.9832204861111111,0.34354299679398537,0.5067408053576404,0.3479732898445555,0.9663991970486112,
3,5,0.11805037160714467,0.8321107003889657,0.7133585196459022,0.9851555266203705,0.20026854798197746,0.719600772858612,0.5631448732918427,0.9701633029513889,x
3,6,0.10934084219237168,0.8438284203982919,0.730502548175718,0.9862469256365741,0.27643202245235443,0.5994916112268516,0.4328397477932999,0.9698296440972223,
3,7,0.10252020259698232,0.8530173550331909,0.7443560422389551,0.9870929181134261,0.29719024151563644,0.5635407083357845,0.39525375041711874,0.9681591796875,
3,8,0.09990118692318599,0.8567553302553873,0.750358484995174,0.9875506365740742,0.2707849331200123,0.6099686087959635,0.45016364566939016,0.9705072699652778,
3,9,0.09439076234896977,0.8649027434401545,0.7629021294369904,0.9880031105324075,0.22286517545580864,0.6896121866941318,0.5300196297200213,0.9671370442708334,
3,10,0.0921753750493129,0.8671624939013273,0.766603547987001,0.9882913773148151,0.25929515436291695,0.6241319862767851,0.46195426117904104,0.9713780381944445,
4,1,0.1362263107051452,0.8023313529687283,0.673588724199187,0.9820836950231482,0.33967142924666405,0.5400402973597204,0.3746319152832217,0.9468684895833334,
4,2,0.12452881286541621,0.8203337400903759,0.6963710713150285,0.9839686414930554,0.24885670095682144,0.6539319281676239,0.49201991596505,0.9615782335069444,
