round,duration_sec
1,20.5341
2,17.5646
3,18.7874
4,13.4129
5,18.2356
6,12.6129
7,12.3705
8,18.1657
9,17.6780
10,18.4286
11,18.6995
12,17.5683
13,14.6658
14,18.2715
15,17.6543
