step,client_id,epoch,val_loss,val_dice,is_best
1,0,1,1.2055578231811523,0.09127438941300153,no
1,0,2,1.4204288125038147,0.07957460317241805,no
1,0,3,1.296408474445343,0.08094113324793226,no
1,0,4,1.035432517528534,0.07206162328319604,no
1,0,5,0.7347164750099182,0.2390140962643144,no
1,0,6,0.6641004681587219,0.29873382621789346,no
1,0,7,0.534059539437294,0.30564425192429867,no
1,0,8,0.5186566412448883,0.3057808472079282,no
1,0,9,0.5503970384597778,0.27456557950183613,no
1,0,10,0.5134518444538116,0.32621678096575585,no
1,0,11,0.4887693375349045,0.33493142762908557,no
1,0,12,0.42125600576400757,0.4091686127633841,yes
1,0,13,0.46374499797821045,0.424310178229398,no
1,0,14,0.4788373112678528,0.3448295779651849,no
1,0,15,0.4489752799272537,0.4318738292077035,no
2,0,1,0.47029657661914825,0.1401228163405227,no
2,0,2,0.5560639500617981,0.35310997807277,no
2,0,3,0.4374377429485321,0.38529744682338823,no
2,0,4,0.4488636553287506,0.42829841583006156,no
2,0,5,0.4350469559431076,0.43021866184661156,no
2,0,6,0.5789907276630402,0.08416128954129706,no
2,0,7,0.6137551367282867,0.0,no
2,0,8,0.4187183231115341,0.37059500437620263,no
2,0,9,0.3904743194580078,0.4009071797995153,no
2,0,10,0.36231954395771027,0.4380822564229918,no
2,0,11,0.29944200068712234,0.5720026598002561,yes
2,0,12,0.42606379091739655,0.29536840681424775,no
2,0,13,0.34604378044605255,0.45061475793656375,no
2,0,14,0.31618423759937286,0.5337951696420287,no
2,0,15,0.3231942653656006,0.4963375055651937,no
3,0,1,0.32012565433979034,0.49603905041516805,yes
3,0,2,0.38804735243320465,0.3625742427138022,no
3,0,3,0.3232993856072426,0.4964095075514158,no
3,0,4,0.5381579995155334,0.09102476975601217,no
3,0,5,0.5225059539079666,0.10255064553369236,no
3,0,6,0.5681996047496796,0.05765948030596341,no
3,0,7,0.4033936411142349,0.34752304829791597,no
3,0,8,0.4356948435306549,0.3165682310102858,no
3,0,9,0.3894868344068527,0.40394065978549265,no
3,0,10,0.4039095342159271,0.37575488478010066,no
3,0,11,0.47853708267211914,0.25433952558715855,no
3,0,12,0.39770787954330444,0.389123013005125,no
3,0,13,0.4538678228855133,0.3645774674035876,no
3,0,14,0.35378487408161163,0.5071946023330016,no
3,0,15,0.4689405560493469,0.31714303240824143,no
4,2,1,0.4692423641681671,0.11072056239006972,no
4,2,2,0.4528964161872864,0.27715034139207406,no
4,2,3,0.7494564652442932,0.02623082680727646,no
4,2,4,0.3604065477848053,0.3810566258024073,no
4,2,5,0.3518833816051483,0.3798071469082475,no
4,2,6,0.3624034523963928,0.3519639254772137,no
4,2,7,0.3170613646507263,0.4456062291429971,no
4,2,8,0.27408796548843384,0.5354462051704796,yes
4,2,9,0.3021963834762573,0.4778688524585267,no
4,2,10,0.310045450925827,0.46876446089737095,no
4,2,11,0.3880227506160736,0.3054021608639791,no
4,2,12,0.3938160240650177,0.30239691014392545,no
4,2,13,0.4316241145133972,0.24249482401624936,no
4,2,14,0.3474702537059784,0.3973647711507196,no
4,2,15,0.333006888628006,0.41737798205250887,no
5,2,1,0.45338141918182373,0.14350143501415402,no
5,2,2,0.32864975929260254,0.42468121893189464,no
5,2,3,0.36708781123161316,0.38665888191476666,no
5,2,4,0.35469383001327515,0.40183677005683427,no
5,2,5,0.3082219958305359,0.47219238079458536,no
5,2,6,0.4866187870502472,0.1202109938921152,no
5,2,7,0.29546791315078735,0.48956034629053674,yes
