round,duration_sec
1,42.8602
2,14.3010
3,28.5031
4,9.4089
5,14.1635
6,14.0997
7,9.4463
8,15.7912
9,14.6562
10,14.2808
11,14.1859
12,14.2537
13,10.4325
14,14.1960
15,15.0069
