step,client_id,epoch,val_loss,val_dice,is_best
1,2,1,7.974102020263672,0.02979249533598442,no
1,2,2,0.8579462766647339,0.06350691644247604,no
1,2,3,2.1172118186950684,0.03603076048672373,no
1,2,4,0.6809778809547424,0.00015189488873695555,no
1,2,5,1.8071963787078857,0.003413279934464637,no
1,2,6,1.11056387424469,0.019982398923224797,no
1,2,7,0.6040477156639099,0.100354840321805,yes
1,2,8,5.531357765197754,0.05507983814300331,no
1,2,9,4.9907121658325195,0.04215411012322296,no
1,2,10,2.1228888034820557,0.06454217037679222,no
1,2,11,0.6213624477386475,0.027163520470690285,no
1,2,12,0.7359907031059265,0.08382725380218203,no
1,2,13,0.9179773330688477,0.07156789729403203,no
1,2,14,0.8240404725074768,0.09381229619653665,no
1,2,15,0.787639856338501,0.09550700946151888,no
2,0,1,12.667595624923706,0.02147828623791302,no
2,0,2,8.767026901245117,0.0012644889357211462,no
2,0,3,1.263432890176773,0.05841236521276144,no
2,0,4,0.658816009759903,0.0,no
2,0,5,0.5684680640697479,0.057020564793832024,no
2,0,6,0.48771747946739197,0.3239183735894444,no
2,0,7,0.44704581797122955,0.37470219136277105,no
2,0,8,0.566950112581253,0.0,no
2,0,9,0.8136361837387085,0.3260740332661438,no
2,0,10,0.4650503545999527,0.23393922899670314,no
2,0,11,0.313636913895607,0.5195403153408875,yes
2,0,12,0.48020152747631073,0.3989178024209522,no
2,0,13,0.33291975408792496,0.4742643527893644,no
2,0,14,0.5997129082679749,0.021072686334495078,no
2,0,15,0.4001287668943405,0.41757436416582205,no
3,2,1,0.5745605230331421,0.13589392724006233,no
3,2,2,0.423458456993103,0.27840712342306284,no
3,2,3,0.44617322087287903,0.26225286592446323,no
3,2,4,0.5172147154808044,0.19197881613058093,no
3,2,5,0.3968636691570282,0.3265607264470337,no
3,2,6,0.4136117398738861,0.2882668254911731,no
3,2,7,0.37819790840148926,0.3575930372146176,yes
3,2,8,0.40372055768966675,0.3195086216610394,no
3,2,9,0.3896694779396057,0.3145558400627195,no
3,2,10,0.3932915925979614,0.2999345121149313,no
