step,duration_sec
1,32.5481
2,9.2675
3,18.4260
4,9.1529
5,4.6863
6,9.2698
7,9.2013
8,4.3631
9,9.1842
10,4.7590
11,4.6010
12,3.9613
13,4.0841
14,3.8610
15,9.1574
16,3.9004
17,3.9980
18,3.9089
19,4.5884
20,9.3379
21,9.1465
22,4.0164
23,4.5972
24,3.8634
25,9.2341
26,4.6668
27,4.0118
28,4.9682
29,4.5855
30,3.9861
31,9.1815
32,4.5947
33,3.9087
34,4.6664
35,4.6007
36,9.3163
37,3.9813
38,9.2245
39,4.5903
40,4.6549
41,4.0881
42,3.8794
43,4.6174
44,9.2731
45,3.9653
