round,epoch,train_loss,train_dice,train_iou,train_acc,val_loss,val_dice,val_iou,val_acc,best_epoch
6,4,0.10942973010241985,0.8517427708991546,0.7430879499714175,0.9823193359375,0.3608289957046509,0.5192618970539428,0.35067774376902033,0.9548828125,
6,5,0.0904599167406559,0.8781019224361407,0.7830407458530821,0.985703125,0.33887502551078796,0.5394188983184593,0.3693180047978411,0.9560698784722222,
6,6,0.08888104930520058,0.8789709727570791,0.7849196112884443,0.9855034722222222,0.37965127825737,0.5030994949856387,0.3360941447346308,0.9549457465277778,
6,7,0.07903677970170975,0.8941897003794764,0.8088196458351504,0.9876790364583334,0.30324387550354004,0.5966628308399234,0.42517425174239293,0.9574045138888889,x
7,1,0.12280751019716263,0.8346660456162858,0.7181373746569146,0.9806228298611112,0.5668097734451294,0.22710447761187252,0.12809806034478444,0.9438107638888888,
7,2,0.13276162557303905,0.820613172229305,0.6959623547889767,0.9785915798611111,0.4256100654602051,0.4211560939325202,0.26674967190488047,0.9527126736111111,
7,3,0.1159913931041956,0.8445608071947681,0.731508819527209,0.9822916666666668,0.38854408264160156,0.45169873106824304,0.29173826834094785,0.9534895833333333,
7,4,0.09996268711984158,0.8644496901040131,0.7617827550319662,0.9841878255208334,0.30683964490890503,0.5821425320832389,0.41057902169713356,0.9601475694444445,x
7,5,0.0854718629270792,0.8844267533537071,0.7929829572128642,0.9864029947916667,0.34505632519721985,0.5351762331626848,0.36535195924502084,0.9570138888888889,
7,6,0.07960829697549343,0.8916174292002407,0.8048605321365879,0.9871001519097222,0.3623069226741791,0.5221327488443984,0.35330152179508856,0.9564713541666666,
7,7,0.07190089114010334,0.9028805609200562,0.8230115711879764,0.988732638888889,0.36227017641067505,0.5277369979060607,0.3584529375223597,0.9574153645833333,
1,1,0.5887029618024826,0.17202911085022538,0.10139289954538536,0.9199864366319445,0.6771000027656555,0.0,0.0,0.9363194444444445,
1,2,0.47923772037029266,0.43581646732715595,0.28147947341931445,0.9037939453125,0.7259882688522339,0.19543344512802396,0.10829938336183388,0.8427777777777777,
1,3,0.4309306889772415,0.4897379729856036,0.32692626814509457,0.9023160807291667,0.6617053747177124,0.317679534691301,0.1888341378721848,0.8245941840277777,
1,4,0.3952297568321228,0.5369891750593303,0.3719861450373796,0.9233072916666667,0.7928518056869507,0.20449708522253365,0.11389404246546651,0.5149262152777778,
