step,client_id,epoch,val_loss,val_dice,is_best
1,1,1,0.6791730672121048,0.48096875678251455,no
1,1,2,0.4531650021672249,0.5616143256578371,no
1,1,3,0.30252183601260185,0.6295758186970013,no
1,1,4,0.2590843625366688,0.6487063999139013,no
1,1,5,0.27001141384243965,0.6133713211206955,no
1,1,6,0.25075915455818176,0.6364015279615185,no
1,1,7,0.25426072627305984,0.6393339748322369,no
1,1,8,0.25404855608940125,0.631890342003287,no
1,1,9,0.24122216925024986,0.6534916079649381,yes
1,1,10,0.25099192559719086,0.6415341467203942,no
2,1,1,0.27503274381160736,0.6144675718651681,no
2,1,2,0.3080556243658066,0.569618718970576,no
2,1,3,0.2809401750564575,0.604760592840324,no
2,1,4,0.2581465356051922,0.6392029074297445,no
2,1,5,0.2431427612900734,0.6611491290159466,no
2,1,6,0.26147259399294853,0.6322930477125769,no
2,1,7,0.23164605349302292,0.6715345872204369,yes
2,1,8,0.25371167063713074,0.6439175661246683,no
2,1,9,0.2638057582080364,0.6227253011777429,no
2,1,10,0.24827106297016144,0.6553559031723443,no
3,2,1,0.3382861018180847,0.41514536849182343,no
3,2,2,0.32738471031188965,0.4470673425051071,no
3,2,3,0.3342270851135254,0.40851749127636344,no
3,2,4,0.33063164353370667,0.4149692089053387,no
3,2,5,0.3375488519668579,0.402507836990175,no
3,2,6,0.3813510239124298,0.3082568807335914,no
3,2,7,0.3402167558670044,0.4044920012708925,no
3,2,8,0.3018118143081665,0.47824078351614313,yes
3,2,9,0.3210870027542114,0.43697817120970023,no
3,2,10,0.32070115208625793,0.43717761557135065,no
4,0,1,0.24164102226495743,0.6526800827328312,no
4,0,2,0.21139103546738625,0.6757212088084398,no
4,0,3,0.20528297126293182,0.6833403913555485,no
4,0,4,0.19444293901324272,0.7003198843664202,yes
4,0,5,0.21640371158719063,0.6620473615616256,no
4,0,6,0.2034648433327675,0.6813836248623624,no
4,0,7,0.21016252785921097,0.6685247631571062,no
4,0,8,0.2151070088148117,0.6657563841883757,no
4,0,9,0.2184438556432724,0.6573719159188947,no
4,0,10,0.21835970878601074,0.6570682628610747,no
5,1,1,0.23463748767971992,0.6662122466498538,no
5,1,2,0.22708989307284355,0.6783432691695126,yes
5,1,3,0.2509812004864216,0.6519482887503002,no
5,1,4,0.27856235578656197,0.6210274612596908,no
5,1,5,0.24487729370594025,0.6621627316600719,no
5,1,6,0.23352046310901642,0.6742588092814931,no
5,1,7,0.24566300213336945,0.6711412614057228,no
5,1,8,0.2447935864329338,0.6598411133061647,no
5,1,9,0.24613039195537567,0.6657153542236953,no
5,1,10,0.23200475797057152,0.6878890323900417,no
6,1,1,0.25587333366274834,0.6406662029814683,no
6,1,2,0.2672141306102276,0.6353618877730298,no
6,1,3,0.26688220351934433,0.6253294691671545,no
6,1,4,0.2709793299436569,0.623029691457661,no
6,1,5,0.23939212411642075,0.6678599069425427,no
6,1,6,0.231553316116333,0.6806124303628189,yes
6,1,7,0.23698445409536362,0.6765384689190282,no
6,1,8,0.24308019503951073,0.6650581210534715,no
6,1,9,0.24886661022901535,0.6597308976330076,no
6,1,10,0.24429626017808914,0.6779276824711693,no
7,2,1,0.4666558504104614,0.1397249080755281,no
7,2,2,0.3072143793106079,0.48767658551210724,no
7,2,3,0.33665981888771057,0.43411039980647775,no
7,2,4,0.33004307746887207,0.4356154664771652,no
7,2,5,0.33208611607551575,0.42975880052116217,no
7,2,6,0.33710381388664246,0.41475137638694853,no
7,2,7,0.31853896379470825,0.4550965214954256,no
7,2,8,0.2971374988555908,0.49811757891640296,yes
7,2,9,0.31782302260398865,0.45324782788534,no
7,2,10,0.3162398636341095,0.4592833876216823,no
8,0,1,0.24494421482086182,0.6610323524372372,no
8,0,2,0.20903503149747849,0.6851053237268572,no
8,0,3,0.2002786174416542,0.6849830480030482,no
8,0,4,0.18835364282131195,0.7109969308088253,yes
8,0,5,0.2210221216082573,0.6467697098258228,no
8,0,6,0.2043803706765175,0.6759331243131452,no
8,0,7,0.19571472704410553,0.6925412100060502,no
8,0,8,0.2076953537762165,0.6782198279403218,no
8,0,9,0.20012719556689262,0.6968712241688485,no
8,0,10,0.1995314098894596,0.6965299720643299,no
9,1,1,0.2570563517510891,0.6533976010178069,no
9,1,2,0.23496512323617935,0.679420395097279,no
9,1,3,0.26224014535546303,0.6359341639602931,no
9,1,4,0.28192759305238724,0.6165115560840843,no
9,1,5,0.24450203403830528,0.6678282460804608,no
9,1,6,0.26521530374884605,0.6473366477329547,no
9,1,7,0.25543687865138054,0.660289469158903,no
9,1,8,0.2574794888496399,0.6532725706339623,no
9,1,9,0.2671109661459923,0.6495044794014528,no
9,1,10,0.22896882891654968,0.6984757013088705,yes
10,1,1,0.27483952045440674,0.6460145466385362,no
