round,duration_sec
1,85.4665
2,66.8245
3,67.0043
4,65.9469
5,66.7846
6,65.8616
7,66.9947
8,65.5552
9,66.9043
10,66.1544
11,66.2296
12,65.9039
13,65.7381
14,65.6139
15,65.8818
