round,duration_sec
1,25.8349
2,22.2044
3,22.0844
4,22.2561
5,21.8936
6,21.8352
7,21.6148
8,21.8086
9,22.0849
10,22.3169
11,21.7355
12,21.8035
13,21.8813
14,21.7105
15,21.7912
