epoch,train_loss,train_dice,train_iou,train_acc,val_loss,val_dice,val_iou,val_acc,saved_ckpt,marker
1,0.8445766717195511,0.2316384682108438,0.1327733257919961,0.6771849681712964,0.8767988085746765,0.1378561205851952,0.07404995199891765,0.38300889756944445,True,X
2,0.7922832320133845,0.3082307780010393,0.18353790610394047,0.8129513888888887,0.792460098862648,0.28024146226928526,0.16308262395902412,0.75013671875,True,X
3,0.7384404689073563,0.37819954008389733,0.23392349588649977,0.8691247106481482,0.7791729718446732,0.27498625512847263,0.15947613301265026,0.7512445746527777,False,
4,0.6822125017642975,0.432180541162237,0.2777638896228319,0.9017455150462962,0.6468269377946854,0.4650421848167485,0.30434876945495126,0.9161284722222223,True,X
5,0.6219202429056168,0.48246997931911045,0.32072574959730255,0.9269572844328704,0.7445264905691147,0.2761372723324793,0.16061594399450327,0.7634255642361111,False,
6,0.5435964912176132,0.5684652251349445,0.40063458659808937,0.9538062427662036,0.6864243596792221,0.3496831951993649,0.2253618421514776,0.9335595703124999,False,
7,0.46025732656319934,0.6209434545616106,0.4554184193864719,0.9600696252893518,0.5862559378147125,0.4402919033485312,0.28489515250285097,0.9080631510416666,False,
8,0.37083960076173145,0.6958292236749036,0.5352923153698247,0.9706911892361112,0.6320912390947342,0.3791954820364688,0.23412523246675876,0.8393663194444445,False,
9,0.33443628748257953,0.7081003501981983,0.5522324541563636,0.9713530815972221,0.37522953748703003,0.664131384989167,0.4976031266473792,0.9639398871527778,True,X
10,0.311774676044782,0.7208543494299603,0.5690873784595458,0.9747388599537036,0.34279710054397583,0.6803398011666091,0.518028843805303,0.9695323350694445,True,X
11,0.25727814932664234,0.7660863868288268,0.6241278963153011,0.9776788556134259,0.33596864342689514,0.6834501588373885,0.5223661242163592,0.9683995225694444,True,X
12,0.22374301155408224,0.7975468310157918,0.6650400604073573,0.9818337673611112,0.32399874925613403,0.6903630425600771,0.5299324097717271,0.967666015625,True,X
13,0.195318803191185,0.8214332532933678,0.6986233296932345,0.9836810980902778,0.3201587498188019,0.6903840833715837,0.5312189152321125,0.9698236762152779,True,X
14,0.19277126590410867,0.8209156227285556,0.69821490634997,0.9837436704282405,0.3253094404935837,0.6830335245131233,0.5196388667031515,0.9669666883680555,False,
15,0.1871283302704493,0.825289802081827,0.7036850785748228,0.984560908564815,0.35313549637794495,0.6527214792577762,0.48797948260810275,0.9632568359375,False,
