round,duration_sec
1,14.6617
2,16.7171
3,17.2473
4,17.1593
5,16.4473
6,11.0536
7,17.0666
8,11.3848
9,11.0393
10,17.1351
11,16.9836
12,11.0389
13,17.2154
14,11.0192
15,16.1981
1,18.9352
2,17.5031
3,17.2195
4,12.8656
5,11.6700
6,16.3845
7,11.1996
8,17.0669
9,11.5049
10,17.6468
1,11.9434
2,10.2961
3,7.4144
4,10.5548
5,7.4532
