round,epoch,train_loss,train_dice,train_iou,train_acc,val_loss,val_dice,val_iou,val_acc,best_epoch
1,1,0.718076515197754,0.18746850109339147,0.10622279575823934,0.8347495659722222,0.7722857594490051,0.020231053849158853,0.010316953316946374,0.9589876302083333,
1,2,0.6145464539527893,0.3188205254137749,0.19091679530821,0.9199626736111112,0.7302544116973877,0.297446452150611,0.17756244997844758,0.9610807291666666,
1,3,0.5264712333679199,0.4136029181193591,0.26164811133267774,0.9347974537037038,0.6738321781158447,0.06459479385239913,0.03452770704496512,0.9605088975694445,
1,4,0.45837836861610415,0.5191643948625122,0.35149081161399726,0.9587447916666667,0.5982308983802795,0.4633412344068412,0.31323848534411164,0.9473578559027778,
1,5,0.37401118874549866,0.628411738991974,0.4619540086492476,0.9682677951388889,0.5021456778049469,0.5142228557899403,0.34880672729299966,0.9624641927083333,x
2,1,0.2875159472227097,0.609864704814175,0.44339350435824965,0.9708030960648149,0.534208819270134,0.11262059460518181,0.0634568449078858,0.9600911458333333,
2,2,0.23536191284656524,0.6823837073970822,0.5184721943798599,0.9763224826388889,0.25998175889253616,0.6358093150793044,0.49342145154586015,0.9743153211805555,x
2,3,0.20793090462684632,0.7073761943755,0.5499610597860528,0.9786338252314815,0.2762172594666481,0.5808733835422722,0.4290842056036569,0.9742513020833333,
2,4,0.1970674604177475,0.7108053326549999,0.5523669303668499,0.9799171006944445,0.298760786652565,0.5348384139361191,0.40545473147043787,0.9683257378472222,
2,5,0.18180128335952758,0.7347152251810516,0.5822656712457339,0.9799973958333335,0.2581325173377991,0.5806670794501717,0.44274122966766793,0.976787109375,
3,1,0.19204543232917787,0.7123542256297666,0.5558044585125326,0.9785655381944445,0.5051344037055969,0.1861217005258958,0.11434246412894916,0.963054470486111,
3,2,0.20138362646102906,0.6936195230371587,0.5322155727686907,0.9782761863425927,0.2241201251745224,0.6741068565731082,0.5428081841036911,0.9777604166666667,x
3,3,0.17414348125457763,0.7393954977511441,0.5884092457064182,0.9806070601851852,0.2552252784371376,0.6131640033970811,0.46793504574956946,0.9757703993055555,
3,4,0.15405034720897676,0.7688001535405741,0.6252354247091135,0.9839790219907407,0.24365190044045448,0.6335541004657952,0.4954391066204904,0.9767328559027778,
3,5,0.147655713558197,0.777125197780043,0.6356101622784832,0.9838355034722222,0.22506166994571686,0.6517783542144734,0.5140554240645192,0.9789702690972222,
4,1,0.15130146443843842,0.7738972929994347,0.6329845377189709,0.9841004050925927,0.5246800184249878,0.20031826266020766,0.12524874165976516,0.9632747395833333,
4,2,0.19216926991939545,0.7098046567397194,0.552482072987961,0.9787890625,0.2157408855855465,0.6823928856088767,0.5479814697703734,0.9788400607638889,x
4,3,0.16078970730304717,0.7575664247805091,0.6104212338875643,0.9827057291666665,0.27550914138555527,0.5880617344663305,0.4261151438768425,0.9729079861111112,
4,4,0.17435096204280853,0.7301077857424303,0.5779635824412626,0.9816236979166666,0.3517325222492218,0.46527098732612077,0.3070481564065868,0.957578125,
4,5,0.158087295293808,0.7588020578525482,0.6119698579794056,0.9818375289351853,0.24432575702667236,0.6280899234206319,0.4786442271820879,0.9775477430555555,
5,1,0.14390990436077117,0.7836184819772185,0.6454675812162641,0.9848457754629629,0.5504757761955261,0.149048032259635,0.08757722992016821,0.9622493489583333,
5,2,0.18108631670475006,0.7277796770305519,0.5726525422880941,0.9806147280092594,0.2138511836528778,0.6815844653486365,0.5391580310712909,0.9768587239583333,x
5,3,0.15559578835964202,0.7614655589333262,0.6172042710731838,0.9828425925925925,0.32065993547439575,0.5088097796376557,0.34912562767333455,0.9709928385416666,
5,4,0.16238074600696564,0.755419670021803,0.6086216546024428,0.9832358217592592,0.2905622869729996,0.5506033497037924,0.3881551838413063,0.9682584635416667,
5,5,0.15028878450393676,0.7733224112476635,0.630555537661502,0.9827734375,0.23624233528971672,0.6368061272778851,0.5072358490991866,0.9772092013888889,
