round,duration_sec
1,64.5974
2,38.0285
3,54.5381
4,33.3647
5,53.6413
6,33.1822
7,54.3107
8,50.9398
9,32.5611
10,50.5153
11,53.7733
12,53.6373
13,53.8714
14,50.3375
15,53.6271
