step,duration_sec
1,9.1382
2,11.1480
3,6.1070
4,11.0657
5,5.7989
6,5.3565
7,5.1403
8,11.1875
9,10.9199
10,4.9803
11,10.8898
12,6.2690
13,5.7604
14,5.8122
15,5.3387
16,11.2736
17,10.8736
18,5.7723
19,5.0635
20,6.0948
21,4.9883
22,11.2167
23,6.1193
24,5.0705
25,10.9073
26,5.8422
27,5.8401
28,5.3161
29,5.8354
30,10.9041
31,5.0233
32,10.9377
33,5.7450
34,5.8129
35,11.0094
36,5.7273
37,5.0186
38,10.9450
39,5.0126
40,5.0210
41,5.9146
42,5.8378
43,6.1986
44,5.0312
45,5.7896
