run_name,model_name,encoder_name,num_rounds,local_epochs,lr,elapsed_sec,model_bytes,n_params,est_total_comm_mb,avg_fit_time_sec_per_round_per_client,avg_eval_time_sec_per_round_per_client,avg_gpu_max_alloc_mb,avg_rss_delta_mb
unet__resnet50,unet,resnet50,4,6,0.001,152.20496405900008,130292796,32517969,2982.1654357910156,6.130689628083331,0.27668104099998914,1239.6708170572917,80.04616477272727
unet__resnet50,unet,resnet50,3,7,0.001,133.892919077,130292796,32517969,2236.6240768432617,7.105664381888851,0.28301531300010335,1269.8683268229167,117.56473214285714
unet__resnet50,unet,resnet50,2,10,0.001,122.33666364400005,130292796,32517969,1491.0827178955078,10.274366348499901,0.2710371186667544,1241.9920247395833,171.4515625
unet__resnet50,unet,resnet50,5,10,0.001,239.2025509380005,130292796,32517969,3727.7067947387695,9.801583808000032,0.28948350280000645,1242.0400065104166,59.31640625
unet__resnet50,unet,resnet50,7,7,0.001,259.55805597000017,130292796,32517969,5218.789512634277,7.058432559809608,0.2859972064760812,1240.7254231770833,47.96788194444444
unet__resnet50,unet,resnet50,10,5,0.001,292.9209710900004,130292796,32517969,7455.413589477539,5.048541914199965,0.2883729795333844,1239.9927408854167,30.310883620689655
unet__resnet50,unet,resnet50,10,10,0.001,429.2879973399995,130292796,32517969,7455.413589477539,9.62880909379989,0.2989185299667649,1245.057763671875,29.827008928571427
unet__resnet50,unet,resnet50,10,10,0.0005,419.0762232239995,130292796,32517969,7455.413589477539,9.592326091700064,0.2832073373667299,1309.66884765625,28.687109375
