round,duration_sec
1,85.7698
2,67.9576
3,67.5270
4,66.9894
5,67.1656
6,66.9483
7,66.7370
8,66.4053
9,66.7099
10,66.4238
11,66.8352
12,66.4115
13,66.7757
14,66.6673
15,66.6257
